question,answerA,answerB,answerC,answerD,correctAnswer,,,,,,,,,,,,,,,,,,,
মাইকেল মধুসূদন দত্তের মেঘনাদবধ কাব্য ইংরেজিতে প্রথম অনুবাদ করেন কে? ,দীনবন্ধু মিত্র ,রজনীকান্ত দাস ,রাজনারায়ন বসু ,ডি.এল.রায় ,3,",",',",",',',",",',"',",',',",",',ডি.এল.রায় ,',",",',3,');,#REF!
মহাশ্মশান মহাকাব্যের রচয়িতার নাম ,মাইকেল মধুসূদন দত্ত ,বিহারীলাল চক্রবর্তী ,রবীন্দ্রনাথ ঠাকুর ,কায়কোবাদ ,4,",",',",",',',",",',"',",',',",",',কায়কোবাদ ,',",",',4,');,#REF!
ফোর্ট উইলিয়াম কলেজে বাংলা বিভাগ চালু হয় কত খ্রিষ্টাব্দে ? ,1800,1801,1802,1810,2,",",',",",',',",",',"',",',',",",',1810,',",",',2,');,#REF!
কাজী নজরুল ইসলাম অগ্নিবীণা কাব্য কাকে উৎসর্গ করেন? ,বারীন্দ্রকুমার ঘোষ ,রবীন্দ্রনাথ ঠাকুর ,সুভাষচন্দ্র বসু ,চিত্তরঞ্জন দাশ ,1,",",',",",',',",",',"',",',',",",',চিত্তরঞ্জন দাশ ,',",",',1,');,#REF!
কোনটি রবীন্দ্রনাথের ছোটগল্প নয়? ,সত্ত্বা ,স্বত্তা ,সত্তা ,সত্বা ,3,",",',",",',',",",',"',",',',",",',সত্বা ,',",",',3,');,#REF!
ভিখু ও পাঁচী চরিত্র দুটি পাওয়া যায় কার রচনায়? ,সৈয়দ ওয়ালীউলাহ ,মানিক বন্দ্যোপাধ্যায় ,আলাউদ্দিন আল আজাদ ,হুমায়ূন আহমেদ ,2,",",',",",',',",",',"',",',',",",',হুমায়ূন আহমেদ ,',",",',2,');,#REF!
নজরুলের কোন রচনাটি ব্রিটিশ সরকার বাজেয়াপ্ত করে? ,অগ্নিবীণা ,ব্যথার দান ,ছায়ানট ,বিশের বাঁশি ,4,",",',",",',',",",',"',",',',",",',বিশের বাঁশি ,',",",',4,');,#REF!
পানিপথের তৃতীয় যুদ্ধ অবলম্বনে রচিত নাটক কোনটি? ,যুদ্ধ ,বিদ্রোহী পদ্মা ,রক্তাক্ত প্রান্তর ,পরাক্রম ,3,",",',",",',',",",',"',",',',",",',পরাক্রম ,',",",',3,');,#REF!
কোনটি মুসলিম সাহিত্য-সমাজের মুখপত্র? ,আজাদ ,শিখা ,মোহাম্মদী ,সওগাত ,2,",",',",",',',",",',"',",',',",",',সওগাত ,',",",',2,');,#REF!
খদ্যোত শব্দের অর্থ ,জোনাকি ,পাখি ,ক্রেতা ,চতুর ,1,",",',",",',',",",',"',",',',",",',চতুর ,',",",',1,');,#REF!
রবীন্দ্রনাথ ঢাকা বিশ্ববিদ্যালয়ে আসেন কত সালে? ,1922,1925,1926,1928,3,",",',",",',',",",',"',",',',",",',1928,',",",',3,');,#REF!
